order_no,floor,roomsize_sqm,dt_bts_km,carpark_room,finess_c,poor_c,dt_shopping_km,dt_expressway_km,gard,keycard,cctv,face_recog,central_value,bedroom,bathroom,gift_value,land_value_baht_wa,create_year,value
1,8,26,2.8,1,1,0,2.5,15,1,1,1,0,12000,1,1,12000,250000,2556,1500000
2,8,26,0.8,0.3,1,1,4,1,1,1,1,0,24000,1,1,40000,111000,2559,2400000
3,10,43,10,1,1,1,15,4,1,1,1,0,24000,1,1,30000,120000,2561,3000000
4,34,35,0.1,1,1,1,0.1,1,1,1,1,1,12000,1,1,30000,100000,2561,2700000
5,7,41,1,1,1,1,1,2,1,1,1,1,24000,1,1,20000,140000,2561,2800000
6,26,34,0.24,1,1,1,0.15,7.4,1,1,1,0,16320,1,1,150000,200000,2556,4480000
7,8,45,0.36,1,1,1,0.4,1.7,1,1,1,0,19440,1,1,150000,250000,2552,4900000
8,30,83,1.3,0.8,1,1,3.4,1,1,0,1,0,39480,2,2,370000,84668,2555,9900000
9,22,37,0.35,0.6,1,1,1.3,7,0,0,1,0,22200,1,1,0,128000,2555,7900000
10,8,22.56,4.8,0.8,1,1,4.2,18,0,0,1,0,9432,1,1,0,52000,2559,1350000
11,30,33,1.1,0.8,1,1,0.9,7.9,1,0,1,0,12276,1,1,0,69697,2557,2300000
12,30,28.5,0.5,0.8,1,1,5.9,0,0,1,1,0,15660,1,1,0,94178,2557,2750000
13,8,28.46,2.7,1,1,1,2.9,8.5,1,1,1,0,10245,1,1,1460000,100000,2555,1650000
14,22,27,2.2,1,1,1,2,5.3,1,0,1,0,24000,1,1,2900000,100000,2559,2900000
15,22,34,2.1,1,1,1,2,5.3,1,0,1,0,18360,1,1,4491000,100000,2559,4491000
16,22,63,2.1,2,1,1,2,5.3,1,0,1,0,36000,1,1,6500000,100000,2559,6500000
17,33,34.5,6.7,1,1,1,1,6.7,1,1,0,0,15000,1,1,2900000,120000,2558,2900000
18,33,51,6.7,2,1,1,1,10,1,1,0,0,15000,2,1,3978400,120000,2557,2900000
19,8,27,1,1,1,1,1.5,13,1,1,1,0,12312,1,1,1500000,170000,2553,1500000
20,8,30.5,1,1,1,1,1.5,13,1,1,1,0,13908,1,1,1960000,170000,2553,1960000
21,24,24.5,9.8,1,1,1,1.7,12.6,1,1,1,0,12000,1,1,1290000,170000,2558,1290000
22,18,27,20,0.8,1,1,0.8,6.4,1,1,1,0,4000,1,1,70000,100000,2562,1800000
23,8,34,2,1,1,1,3,8,1,1,1,0,12000,1,1,200000,120000,2559,1800000
24,30,27.8,1.3,0.46,1,1,1.5,10.2,1,1,1,0,18348,1,1,400000,103900,2561,2890000
25,8,22,1.1,0.8,1,1,3.8,4.8,1,1,1,0,12000,3,1,0,79090,2561,1740000
26,8,23,0.3,0.8,1,1,1.5,5.4,1,1,1,0,12000,1,1,0,73600,2562,1590000
27,26,23,0.3,0.8,1,1,0.1,14.7,1,1,1,0,9660,1,1,0,85000,2559,2200000
28,8,26.5,2.3,0.8,1,1,0.9,5.1,1,1,1,0,18132,1,1,0,86000,2562,1890000
29,8,32,4.2,0,1,1,2.1,7,1,1,1,0,17600,1,1,100000,90000,2559,1390000
30,21,33,0.1,0.47,1,1,1.3,6.5,1,1,1,0,17820,2,2,100000,85000,2559,2300000
31,30,35,0.35,0.52,1,1,1.5,2.6,1,1,1,0,17820,1,1,100000,145000,2559,3300000
32,8,28,7,0.48,1,1,5,1,1,1,1,0,17820,1,1,0,100000,2558,1620000
33,21,26,0.55,0.35,1,1,3,7.7,1,1,1,0,10140,1,1,150000,175000,2558,1990000
